Transaction ID,Date,Amount (£),Payment Method,Merchant Category,Location,Customer Segment,Transaction status,Sales Channel,Customer Device Type,Promotion/Discount Applied,Sales channel
T000001,2023-01-15,245.67,Credit Card,Retail,London,26-35,Completed,Online,Mobile,No,
T000002,2023-11-02,98.34,Mobile Payment,Food & Beverage,Manchester,18-25,Pending,Mobile App,Desktop,Seasonal Offer,
T000003,2023-03-22,500.25,Digital Wallet,Travel,Birmingham,36-45,Completed,Online,Mobile,Yes,
T000005,2023-05-30,320.0,Bank Transfer,Services,Bristol,60+,Refunded,Subscription,Tablet,Loyalty Points Redeemed,
T000006,2023-05-06,150.45,Credit Card,Retail,London,26-35,Completed,Social Media,Mobile,No,
T000007,2023-07-15,210.99,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,First-Time User Discount,
T000009,2023-09-19,85.3,Debit Card,Entertainment,Glasgow,18-25,Completed,In-Store,Mobile,Yes,
T000010,2023-12-10,295.6,Bank Transfer,Services,Bristol,60+,Pending,Subscription,Desktop,Seasonal Offer,
T000011,2023-01-18,198.75,Credit Card,Retail,London,26-35,Completed,Online,Mobile,No,
T000013,2023-03-28,650.0,Digital Wallet,Travel,Birmingham,36-45,Completed,Online,Mobile,No,
T000014,2023-04-13,95.89,Debit Card,Entertainment,Glasgow,46-60,Completed,Social Media,Smartwatch,Loyalty Points Redeemed,
T000015,2023-05-27,210.5,Bank Transfer,Services,Bristol,60+,Refunded,Subscription,Tablet,First-Time User Discount,
T000016,2023-07-06,175.45,Credit Card,Retail,London,26-35,Completed,Online,Mobile,No,
T000017,2023-07-18,180.99,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,Yes,
T000019,2023-09-22,120.3,Debit Card,Entertainment,Glasgow,18-25,Completed,In-Store,Mobile,No,
T000020,2023-10-19,395.6,Bank Transfer,Services,Bristol,60+,Pending,Subscription,Smartwatch,Loyalty Points Redeemed,
T000021,2023-01-25,220.5,Credit Card,Retail,London,26-35,Completed,Online,Mobile,No,
T000022,2023-02-15,88.2,Mobile Payment,Food & Beverage,Manchester,18-25,Pending,Mobile App,Desktop,Yes,
T000023,2023-05-03,725.3,Digital Wallet,Travel,Birmingham,36-45,Completed,Social Media,Mobile,Seasonal Offer,
T000026,2023-06-28,145.25,Credit Card,Retail,London,26-35,Completed,Subscription,Mobile,First-Time User Discount,
T000027,2023-07-14,210.6,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,No,
T000028,2023-02-08,470.9,Digital Wallet,Travel,Birmingham,46-60,Refunded,Online,Smartwatch,Yes,
T000029,2023-09-13,95.5,Debit Card,Entertainment,Glasgow,18-25,Completed,In-Store,Mobile,Seasonal Offer,
T000030,2023-10-17,315.8,Bank Transfer,Services,Bristol,60+,Pending,Social Media,Desktop,No,
T000031,2023-09-01,215.9,Credit Card,Retail,London,26-35,Completed,Subscription,Mobile,Yes,
T000033,2023-03-29,640.3,Digital Wallet,Travel,Birmingham,36-45,Completed,Online,Mobile,No,
T000034,2023-04-26,85.95,Debit Card,Entertainment,Glasgow,46-60,Completed,In-Store,Smartwatch,Seasonal Offer,
T000036,2023-06-22,155.75,Credit Card,Retail,London,26-35,Refunded,Online,Mobile,No,
T000037,2023-10-07,170.6,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,First-Time User Discount,
T000038,2023-08-14,360.25,Digital Wallet,Travel,Birmingham,46-60,Completed,In-Store,Mobile,Seasonal Offer,
T000039,2023-09-27,115.4,Debit Card,Entertainment,Glasgow,18-25,Completed,Online,Mobile,No,
T000041,2023-12-01,185.2,Credit Card,Retail,London,26-35,Completed,Mobile App,Mobile,No,
T000042,2023-09-02,95.1,Mobile Payment,Food & Beverage,Manchester,18-25,Completed,Online,Desktop,Loyalty Points Redeemed,
T000045,2023-05-19,295.6,Bank Transfer,Services,Bristol,60+,Refunded,Subscription,Tablet,No,
T000046,2023-06-24,165.3,Credit Card,Retail,London,26-35,Completed,Online,Mobile,First-Time User Discount,
T000047,2023-07-07,220.2,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,Yes,
T000048,2023-08-18,480.4,Digital Wallet,Travel,Birmingham,46-60,Pending,Subscription,Smartwatch,No,
T000049,2023-09-14,105.75,Debit Card,Entertainment,Glasgow,18-25,Completed,In-Store,Mobile,Seasonal Offer,
T000050,2023-10-20,325.7,Bank Transfer,Services,Bristol,60+,Completed,Online,Desktop,Loyalty Points Redeemed,
T000051,2023-11-01,225.85,Credit Card,Retail,London,26-35,Completed,Social Media,Mobile,No,
T000054,2023-04-23,75.5,Debit Card,Entertainment,Glasgow,46-60,Refunded,In-Store,Smartwatch,No,
T000055,2023-05-31,250.6,Bank Transfer,Services,Bristol,60+,Completed,Subscription,Tablet,Loyalty Points Redeemed,
T000056,2023-06-20,135.85,Credit Card,Retail,London,26-35,Completed,Online,Mobile,Yes,
T000057,2023-07-22,190.75,Mobile Payment,Food & Beverage,Manchester,36-45,Completed,Mobile App,Desktop,Seasonal Offer,
T000058,2023-08-26,390.95,Digital Wallet,Travel,Birmingham,46-60,Pending,Social Media,Mobile,No,
