Transaction ID,Date,Amount (£),Payment Method,Merchant Category,Location,Customer Segment,Transaction status,Sales Channel,Customer Device Type,Promotion/Discount Applied,Sales channgel
T000004,10/04/2023 16:50,75.89,Debit Card,Entertainment,Glasgow,46-60,Failed,In-Store,Smartwatch,No,In-Store
T000012,21/02/2023 11:10,75.22,Mobile Payment,Food & Beverage,Manchester,18-25,Failed,In-Store,Desktop,Yes,In-Store
T000024,18/04/2023 14:20,55.7,Debit Card,Entertainment,Glasgow,46-60,Failed,In-Store,Smartwatch,No,In-Store
T000032,23/02/2023 14:20,65.5,Mobile Payment,Food & Beverage,Manchester,18-25,Failed,Mobile App,Desktop,Loyalty Points Redeemed,Mobile App
T000040,22/10/2023 14:45,405.9,Bank Transfer,Services,Bristol,60,Failed,Subscription,Smartwatch,Loyalty Points Redeemed,Subscription
T000043,17/03/2023 12:40,715.55,Digital Wallet,Travel,Birmingham,36-45,Failed,In-Store,Mobile,Yes,In-Store
T000052,19/02/2023 12:15,85.3,Mobile Payment,Food & Beverage,Manchester,18-25,Failed,Mobile App,Desktop,Yes,Mobile App
T000060,29/10/2023 15:35,415.3,Bank Transfer,Services,Bristol,60,Failed,Subscription,Smartwatch,First-Time User Discount,Subscription
T000062,14/02/2023 11:20,105.9,Mobile Payment,Food & Beverage,Manchester,18-25,Failed,Mobile App,Desktop,Seasonal Offer,Mobile App
T000070,21/10/2023 17:15,335.4,Bank Transfer,Services,Bristol,60,Failed,Subscription,Desktop,Yes,Subscription
T000080,27/10/2023 13:25,425.1,Bank Transfer,Services,Bristol,60,Failed,Subscription,Smartwatch,Loyalty Points Redeemed,Subscription
T000083,31/03/2023 14:20,735.95,Digital Wallet,Travel,Birmingham,36-45,Failed,Mobile App,Mobile,Seasonal Offer,Mobile App
T000090,31/10/2023 16:45,345.7,Bank Transfer,Services,Bristol,60,Failed,Subscription,Desktop,No,Subscription
T000104,2023/13/01,75.89,Debit Card,Entertainment,Glasgow,46-60,Failed,In-Store,Smartwatch,No,In-Store
T000118,02/11/2023,0.0,Debit Card,Entertainment,Glasgow,46-60,Failed,In-Store,Smartwatch,Loyalty Points Redeemed,In-Store
T000008,25/08/2023 13:30,450.75,Digital Wallet,Travel,Birmingham,46-60,Chargeback,Online,Smartwatch,No,Online
T000018,29/08/2023 14:40,350.75,Digital Wallet,Travel,Birmingham,46-60,Chargeback,Online,Mobile,Seasonal Offer,Online
T000025,22/05/2023 09:15,290.15,Bank Transfer,Services,Bristol,60,Chargeback,Online,Tablet,Loyalty Points Redeemed,Online
T000035,28/05/2023 10:12,280.4,Bank Transfer,Services,Bristol,60,Chargeback,Subscription,Tablet,Yes,Subscription
T000044,14/04/2023 14:15,65.8,Debit Card,Entertainment,Glasgow,46-60,Chargeback,Social Media,Smartwatch,Seasonal Offer,Social Media
T000053,21/03/2023 14:45,655.75,Digital Wallet,Travel,Birmingham,36-45,Chargeback,Online,Mobile,Seasonal Offer,Online
T000064,27/04/2023 10:50,85.95,Debit Card,Entertainment,Glasgow,46-60,Chargeback,In-Store,Smartwatch,Loyalty Points Redeemed,In-Store
T000072,25/02/2023 15:10,95.85,Mobile Payment,Food & Beverage,Manchester,18-25,Chargeback,Mobile App,Desktop,First-Time User Discount,Mobile App
T000084,30/04/2023 11:15,95.25,Debit Card,Entertainment,Glasgow,46-60,Chargeback,In-Store,Smartwatch,Yes,In-Store
T000092,26/02/2023 12:30,105.25,Mobile Payment,Food & Beverage,Manchester,18-25,Chargeback,Mobile App,Desktop,First-Time User Discount,Mobile App
T000108,02/11/2023,450.75,Digital Wallet,Travel,Birmingham,46-60,Chargeback,Online,Smartwatch,No,Online
